stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
BID,2023-02-27,44.250000000000000000,939200,41.450000000000000000,-216818,-9.59,,,804,1700500,768,1416700
BID,2023-02-24,44.600000000000000000,497900,22.300000000000000000,-77400,-3.45,,,810,1285400,820,1203800
BID,2023-02-23,45.550000000000000000,1279900,56.780000000000000000,8152,0.37,,,1888,2602800,1034,2213500
BID,2023-02-22,45.000000000000000000,994100,45.210000000000000000,-62700,-2.82,,,1432,2000600,892,1835600
BID,2023-02-21,46.250000000000000000,996600,46.430000000000000000,-53249,-2.46,,,1456,1747500,1240,2356800
BID,2023-02-20,47.200000000000000000,1508300,70.380000000000000000,50400,2.38,,,1000,2556400,2052,3135300
BID,2023-02-17,45.800000000000000000,1493700,67.990000000000000000,310881,14.24,,,1261,2449300,1887,3003000
BID,2023-02-16,45.000000000000000000,1068100,47.610000000000000000,195700,8.81,,,949,2071800,1314,2258400
BID,2023-02-15,44.000000000000000000,604600,26.640000000000000000,220200,9.69,,,1122,1705100,1001,1642300
BID,2021-04-09,44.300000000000000000,4489700,199.710000000000000000,-1098100,-48.85,,,4770,7314600,2417,7063800
BID,2021-04-08,44.800000000000000000,4412400,200.450000000000000000,-82940,-37.60,,,2755,6334400,3073,8122000
BID,2021-04-07,45.550000000000000000,2609000,118.810000000000000000,360,0.16,,,2241,5420100,2182,5272800
BID,2021-04-06,45.750000000000000000,4113800,187.960000000000000000,-7180,-3.28,,,3735,8324400,4097,8578200
BID,2021-04-02,45.000000000000000000,5794100,259.150000000000000000,-42500,-1.89,,,2990,9582800,5484,10528400
BID,2021-04-01,43.950000000000000000,3706500,161.810000000000000000,-22210,-9.70,,,1976,6804100,3463,6272800
BID,2021-03-31,42.950000000000000000,2170100,93.480000000000000000,-24610,-10.59,,,1699,3668700,2626,5138400
BID,2021-03-30,42.850000000000000000,2304200,98.350000000000000000,-749600,-31.99,,,2278,4026200,2072,4340800
BID,2021-03-29,42.550000000000000000,1347900,57.050000000000000000,2310,0.98,,,1455,2640200,1244,2519700
BID,2021-03-26,42.100000000000000000,2445100,101.860000000000000000,-29020,-12.11,,,3300,4641400,1755,4862200
BID,2021-03-25,42.250000000000000000,2369000,100.210000000000000000,-56020,-23.64,,,2983,4093300,1701,4522000
BID,2021-03-18,45.000000000000000000,5666500,252.310000000000000000,-27520,-12.27,,,3715,9925600,6816,11248600
BID,2021-06-04,49.000000000000000000,5939600,290.630000000000000000,232100,11.35,,,3321,8131500,4058,8426400
BID,2021-06-03,48.800000000000000000,6715400,326.330000000000000000,-6680,-3.26,,,0,0,0,0
BID,2021-06-01,48.000000000000000000,4096100,198.120000000000000000,-16650,-8.03,,,4182,6638000,4312,10212800
BID,2021-05-28,47.150000000000000000,7857000,363.420000000000000000,17890,8.30,,,7524,16068800,6602,14496800
BID,2021-05-27,45.400000000000000000,5862300,270.100000000000000000,-142200,-6.64,,,6073,10043100,5421,11705200
BID,2021-05-26,46.650000000000000000,7369800,344.110000000000000000,7760,3.62,,,7095,13948500,5345,13581500
BID,2025-03-17,,2009100,81.040000000000000000,-87053,-3.53,,,,,,
BID,2025-03-13,40.200000000000000000,3981300,161.170000000000000000,75728,3.00,,,,,,
BID,2025-03-12,40.900000000000000000,3968100,162.660000000000000000,-989064,-40.61,,,3570,6734600,1705,8614200
BID,2025-03-10,41.400000000000000000,4881700,202.700000000000000000,-909432,-37.76,,,2978,8688900,4123,10664000
BID,2025-03-07,41.150000000000000000,4622400,189.170000000000000000,-880199,-35.96,,,2823,7745900,2867,7831800
BID,2025-02-28,40.950000000000000000,3051600,124.560000000000000000,-355074,-14.48,,,1956,4912400,1832,5139300
BID,2025-02-26,41.200000000000000000,3020100,124.120000000000000000,-255816,-10.50,,,1713,4027400,2164,5791600
BID,2025-02-24,41.100000000000000000,4168600,171.120000000000000000,-140341,-5.75,,,1976,7006500,4074,8791100
BID,2025-02-20,40.900000000000000000,3398400,138.680000000000000000,17016,0.73,,,3081,5511100,3130,7588800
BID,2025-02-18,40.500000000000000000,3320100,134.230000000000000000,143897,5.83,,,1949,6486300,2667,8089400
BID,2025-02-17,40.200000000000000000,2273100,91.760000000000000000,-283717,-11.45,,,2438,4223100,1916,5856300
VNM,2024-09-24,70.300000000000000000,2076500,146.270000000000000000,-107300,-7.56,,,3328,3628400,2053,5195000
